How do you read the narrator’s emotional vibe in this excerpt?,The narrator says memory isn’t always what we witnessed. What’s that make you think about your own memories?,The narrator talks about time molding us. How does that hit you?,"When he mentions ‘the end of any likelihood of change,’ what’s your reaction?",The narrator doesn’t miss his schooldays. How do you connect with that?,What’s your instant feel from the excerpt’s tone?,‘Accumulation and responsibility’—how does that land with you?,What’s the big takeaway vibe from this excerpt?,Sentiment,Emotion,Psychological_State
Searching for meaning in his past,Freaked out that I might be losing the real stuff,Panicked there’s not enough time to do it all,Fired up to shake things up now,Pushes me to build better moments today,Nervous about how my life stacks up online,Stressed I’m not keeping up with life,A kick to rethink how I roll,Neutral,Sad,Disconnected
"Kinda detached, just observing his own memories",Not sure what’s legit anymore,"Kinda zoned out, like time’s whatever",Anxious I’m running out of chances,Too much to process how different life is now,Nervous about how my life stacks up online,Ready to own my path,Life’s short and kinda unsettling,Neutral,Sad,Disconnected
"Kinda detached, just observing his own memories",Freaked out that I might be losing the real stuff,"Like time’s this big, meaningless blur",Feels like a chill acceptance of life’s flow,Same—my past isn’t who I am,Creeped out by how fast time slips away,Stressed I’m not keeping up with life,Not sure what to focus on anymore,Neutral,Sad,Disconnected
Searching for meaning in his past,Worried how my past looks to others,Pumped to make every second count,Feels like a chill acceptance of life’s flow,Same—my past isn’t who I am,Inspired to live with more purpose,Ready to own my path,A kick to rethink how I roll,Neutral,Happy,FOMO
Stressed about what he’s missed out on in life,Freaked out that I might be losing the real stuff,"Kinda zoned out, like time’s whatever",Anxious I’m running out of chances,Pushes me to build better moments today,Inspired to live with more purpose,Overloaded by all the expectations,Not sure what to focus on anymore,Positive,Happy,Purpose-Driven
"Kinda detached, just observing his own memories",Freaked out that I might be losing the real stuff,"Like time’s this big, meaningless blur",Can’t tell if that’s freeing or scary,Pushes me to build better moments today,Nervous about how my life stacks up online,Stressed I’m not keeping up with life,Life’s short and kinda unsettling,Neutral,Sad,Disconnected
"Kinda detached, just observing his own memories",Freaked out that I might be losing the real stuff,Panicked there’s not enough time to do it all,Can’t tell if that’s freeing or scary,Too much to process how different life is now,Nervous about how my life stacks up online,Overloaded by all the expectations,Anxious my life’s not Insta-worthy,Neutral,Sad,Disconnected
Bogged down by the heaviness of it all,Freaked out that I might be losing the real stuff,"Kinda zoned out, like time’s whatever",Fired up to shake things up now,Makes me stress about not treasuring it enough,Inspired to live with more purpose,Like a nudge to fix what’s broken,Life’s short and kinda unsettling,Neutral,Happy,FOMO
Bogged down by the heaviness of it all,Like my past is just a remix I made up,Pumped to make every second count,Fired up to shake things up now,Makes me stress about not treasuring it enough,Mixed up about what’s worth caring about,Ready to own my path,Life’s short and kinda unsettling,Neutral,Happy,FOMO
Searching for meaning in his past,Like my past is just a remix I made up,"Kinda zoned out, like time’s whatever",Fired up to shake things up now,Same—my past isn’t who I am,Nervous about how my life stacks up online,Overloaded by all the expectations,A kick to rethink how I roll,Negative,Sad,Existential Dread
Stressed about what he’s missed out on in life,Not sure what’s legit anymore,"Kinda zoned out, like time’s whatever",Can’t tell if that’s freeing or scary,Same—my past isn’t who I am,Mixed up about what’s worth caring about,Overloaded by all the expectations,Life’s short and kinda unsettling,Neutral,Sad,Disconnected
Stressed about what he’s missed out on in life,Like my past is just a remix I made up,"Like time’s this big, meaningless blur",Feels like a chill acceptance of life’s flow,Too much to process how different life is now,Nervous about how my life stacks up online,Stressed I’m not keeping up with life,Life’s short and kinda unsettling,Neutral,Sad,Disconnected
"Kinda detached, just observing his own memories",Freaked out that I might be losing the real stuff,Pumped to make every second count,Can’t tell if that’s freeing or scary,Same—my past isn’t who I am,Inspired to live with more purpose,Ready to own my path,Anxious my life’s not Insta-worthy,Neutral,Happy,FOMO
Stressed about what he’s missed out on in life,Like my past is just a remix I made up,"Kinda zoned out, like time’s whatever",Fired up to shake things up now,Pushes me to build better moments today,Inspired to live with more purpose,Like a nudge to fix what’s broken,A kick to rethink how I roll,Neutral,Happy,FOMO
Searching for meaning in his past,Freaked out that I might be losing the real stuff,Pumped to make every second count,Fired up to shake things up now,Too much to process how different life is now,Creeped out by how fast time slips away,Overloaded by all the expectations,A kick to rethink how I roll,Neutral,Happy,FOMO
Bogged down by the heaviness of it all,Like my past is just a remix I made up,Pumped to make every second count,Feels like a chill acceptance of life’s flow,Too much to process how different life is now,Mixed up about what’s worth caring about,Overloaded by all the expectations,A kick to rethink how I roll,Neutral,Happy,FOMO
Searching for meaning in his past,Not sure what’s legit anymore,"Kinda zoned out, like time’s whatever",Can’t tell if that’s freeing or scary,Makes me stress about not treasuring it enough,Inspired to live with more purpose,Stressed I’m not keeping up with life,Life’s short and kinda unsettling,Neutral,Happy,FOMO
Searching for meaning in his past,Worried how my past looks to others,"Kinda zoned out, like time’s whatever",Can’t tell if that’s freeing or scary,Makes me stress about not treasuring it enough,Creeped out by how fast time slips away,Stressed I’m not keeping up with life,A kick to rethink how I roll,Neutral,Sad,Disconnected
Bogged down by the heaviness of it all,Worried how my past looks to others,"Kinda zoned out, like time’s whatever",Fired up to shake things up now,Too much to process how different life is now,Creeped out by how fast time slips away,Like a nudge to fix what’s broken,Life’s short and kinda unsettling,Neutral,Sad,Disconnected
"Kinda detached, just observing his own memories",Worried how my past looks to others,"Like time’s this big, meaningless blur",Can’t tell if that’s freeing or scary,Too much to process how different life is now,Creeped out by how fast time slips away,Stressed I’m not keeping up with life,Not sure what to focus on anymore,Neutral,Sad,Disconnected
Bogged down by the heaviness of it all,Not sure what’s legit anymore,Pumped to make every second count,Can’t tell if that’s freeing or scary,Makes me stress about not treasuring it enough,Inspired to live with more purpose,Stressed I’m not keeping up with life,Anxious my life’s not Insta-worthy,Neutral,Happy,FOMO
