Response,Sentiment,Emotion,Psychological_State
searching for meaning in his past freaked out that i might be losing the real stuff panicked theres not enough time to do it all fired up to shake things up now pushes me to build better moments today nervous about how my life stacks up online stressed im not keeping up with life a kick to rethink how i roll,Neutral,Sad,Disconnected
kinda detached just observing his own memories not sure whats legit anymore kinda zoned out like times whatever anxious im running out of chances too much to process how different life is now nervous about how my life stacks up online ready to own my path lifes short and kinda unsettling,Neutral,Sad,Disconnected
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur feels like a chill acceptance of lifes flow samemy past isnt who i am creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Neutral,Sad,Disconnected
searching for meaning in his past worried how my past looks to others pumped to make every second count feels like a chill acceptance of lifes flow samemy past isnt who i am inspired to live with more purpose ready to own my path a kick to rethink how i roll,Neutral,Happy,FOMO
stressed about what hes missed out on in life freaked out that i might be losing the real stuff kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today inspired to live with more purpose overloaded by all the expectations not sure what to focus on anymore,Positive,Happy,Purpose-Driven
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur cant tell if thats freeing or scary pushes me to build better moments today nervous about how my life stacks up online stressed im not keeping up with life lifes short and kinda unsettling,Neutral,Sad,Disconnected
kinda detached just observing his own memories freaked out that i might be losing the real stuff panicked theres not enough time to do it all cant tell if thats freeing or scary too much to process how different life is now nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Neutral,Sad,Disconnected
bogged down by the heaviness of it all freaked out that i might be losing the real stuff kinda zoned out like times whatever fired up to shake things up now makes me stress about not treasuring it enough inspired to live with more purpose like a nudge to fix whats broken lifes short and kinda unsettling,Neutral,Happy,FOMO
bogged down by the heaviness of it all like my past is just a remix i made up pumped to make every second count fired up to shake things up now makes me stress about not treasuring it enough mixed up about whats worth caring about ready to own my path lifes short and kinda unsettling,Neutral,Happy,FOMO
searching for meaning in his past like my past is just a remix i made up kinda zoned out like times whatever fired up to shake things up now samemy past isnt who i am nervous about how my life stacks up online overloaded by all the expectations a kick to rethink how i roll,Negative,Sad,Existential Dread
stressed about what hes missed out on in life not sure whats legit anymore kinda zoned out like times whatever cant tell if thats freeing or scary samemy past isnt who i am mixed up about whats worth caring about overloaded by all the expectations lifes short and kinda unsettling,Neutral,Sad,Disconnected
stressed about what hes missed out on in life like my past is just a remix i made up like times this big meaningless blur feels like a chill acceptance of lifes flow too much to process how different life is now nervous about how my life stacks up online stressed im not keeping up with life lifes short and kinda unsettling,Neutral,Sad,Disconnected
kinda detached just observing his own memories freaked out that i might be losing the real stuff pumped to make every second count cant tell if thats freeing or scary samemy past isnt who i am inspired to live with more purpose ready to own my path anxious my lifes not instaworthy,Neutral,Happy,FOMO
stressed about what hes missed out on in life like my past is just a remix i made up kinda zoned out like times whatever fired up to shake things up now pushes me to build better moments today inspired to live with more purpose like a nudge to fix whats broken a kick to rethink how i roll,Neutral,Happy,FOMO
searching for meaning in his past freaked out that i might be losing the real stuff pumped to make every second count fired up to shake things up now too much to process how different life is now creeped out by how fast time slips away overloaded by all the expectations a kick to rethink how i roll,Neutral,Happy,FOMO
bogged down by the heaviness of it all like my past is just a remix i made up pumped to make every second count feels like a chill acceptance of lifes flow too much to process how different life is now mixed up about whats worth caring about overloaded by all the expectations a kick to rethink how i roll,Neutral,Happy,FOMO
searching for meaning in his past not sure whats legit anymore kinda zoned out like times whatever cant tell if thats freeing or scary makes me stress about not treasuring it enough inspired to live with more purpose stressed im not keeping up with life lifes short and kinda unsettling,Neutral,Happy,FOMO
searching for meaning in his past worried how my past looks to others kinda zoned out like times whatever cant tell if thats freeing or scary makes me stress about not treasuring it enough creeped out by how fast time slips away stressed im not keeping up with life a kick to rethink how i roll,Neutral,Sad,Disconnected
bogged down by the heaviness of it all worried how my past looks to others kinda zoned out like times whatever fired up to shake things up now too much to process how different life is now creeped out by how fast time slips away like a nudge to fix whats broken lifes short and kinda unsettling,Neutral,Sad,Disconnected
kinda detached just observing his own memories worried how my past looks to others like times this big meaningless blur cant tell if thats freeing or scary too much to process how different life is now creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Neutral,Sad,Disconnected
bogged down by the heaviness of it all not sure whats legit anymore pumped to make every second count cant tell if thats freeing or scary makes me stress about not treasuring it enough inspired to live with more purpose stressed im not keeping up with life anxious my lifes not instaworthy,Neutral,Happy,FOMO
searching for meaning in his past freaked out that i might be losing the real stuff kinda zoned out like times whatever feels like a chill acceptance of lifes flow makes me stress about not treasuring it enough inspired to live with more purpose like a nudge to fix whats broken a kick to rethink how i roll,Neutral,Happy,FOMO
bogged down by the heaviness of it all freaked out that i might be losing the real stuff pumped to make every second count feels like a chill acceptance of lifes flow samemy past isnt who i am inspired to live with more purpose stressed im not keeping up with life a kick to rethink how i roll,Neutral,Happy,FOMO
searching for meaning in his past worried how my past looks to others like times this big meaningless blur feels like a chill acceptance of lifes flow makes me stress about not treasuring it enough creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Neutral,Sad,Disconnected
searching for meaning in his past freaked out that i might be losing the real stuff like times this big meaningless blur fired up to shake things up now samemy past isnt who i am creeped out by how fast time slips away like a nudge to fix whats broken a kick to rethink how i roll,Neutral,Angry,FOMO
stressed about what hes missed out on in life like my past is just a remix i made up pumped to make every second count feels like a chill acceptance of lifes flow too much to process how different life is now nervous about how my life stacks up online stressed im not keeping up with life a kick to rethink how i roll,Neutral,Happy,FOMO
kinda detached just observing his own memories worried how my past looks to others kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Neutral,Sad,Disconnected
